0 0 1 Partition(array, row) 1 ALL_PAIRS
0 0 2 Partition(array, row) 1 ALL_PAIRS
0 0 3 Partition(array, row) 1 ALL_PAIRS
0 0 4 Partition(array, row) 1 ALL_PAIRS
0 0 5 Partition(array, row) 1 ALL_PAIRS
0 0 6 Partition(array, row) 1 ALL_PAIRS
0 0 7 Partition(array, row) 1 ALL_PAIRS
0 0 8 Partition(array, row) 1 ALL_PAIRS
0 1 2 Partition(array, row) 1 ALL_PAIRS
0 1 3 Partition(array, row) 1 ALL_PAIRS
0 1 4 Partition(array, row) 1 ALL_PAIRS
0 1 5 Partition(array, row) 1 ALL_PAIRS
0 1 6 Partition(array, row) 1 ALL_PAIRS
0 1 7 Partition(array, row) 1 ALL_PAIRS
0 1 8 Partition(array, row) 1 ALL_PAIRS
0 2 3 Partition(array, row) 1 ALL_PAIRS
0 2 4 Partition(array, row) 1 ALL_PAIRS
0 2 5 Partition(array, row) 1 ALL_PAIRS
0 2 6 Partition(array, row) 1 ALL_PAIRS
0 2 7 Partition(array, row) 1 ALL_PAIRS
0 2 8 Partition(array, row) 1 ALL_PAIRS
0 3 4 Partition(array, row) 1 ALL_PAIRS
0 3 5 Partition(array, row) 1 ALL_PAIRS
0 3 6 Partition(array, row) 1 ALL_PAIRS
0 3 7 Partition(array, row) 1 ALL_PAIRS
0 3 8 Partition(array, row) 1 ALL_PAIRS
0 4 5 Partition(array, row) 1 ALL_PAIRS
0 4 6 Partition(array, row) 1 ALL_PAIRS
0 4 7 Partition(array, row) 1 ALL_PAIRS
0 4 8 Partition(array, row) 1 ALL_PAIRS
0 5 6 Partition(array, row) 1 ALL_PAIRS
0 5 7 Partition(array, row) 1 ALL_PAIRS
0 5 8 Partition(array, row) 1 ALL_PAIRS
0 6 7 Partition(array, row) 1 ALL_PAIRS
0 6 8 Partition(array, row) 1 ALL_PAIRS
0 7 8 Partition(array, row) 1 ALL_PAIRS
0 9 10 Partition(array, row) 1 ALL_PAIRS
0 9 11 Partition(array, row) 1 ALL_PAIRS
0 9 12 Partition(array, row) 1 ALL_PAIRS
0 9 13 Partition(array, row) 1 ALL_PAIRS
0 9 14 Partition(array, row) 1 ALL_PAIRS
0 9 15 Partition(array, row) 1 ALL_PAIRS
0 9 16 Partition(array, row) 1 ALL_PAIRS
0 9 17 Partition(array, row) 1 ALL_PAIRS
0 10 11 Partition(array, row) 1 ALL_PAIRS
0 10 12 Partition(array, row) 1 ALL_PAIRS
0 10 13 Partition(array, row) 1 ALL_PAIRS
0 10 14 Partition(array, row) 1 ALL_PAIRS
0 10 15 Partition(array, row) 1 ALL_PAIRS
0 10 16 Partition(array, row) 1 ALL_PAIRS
0 10 17 Partition(array, row) 1 ALL_PAIRS
0 11 12 Partition(array, row) 1 ALL_PAIRS
0 11 13 Partition(array, row) 1 ALL_PAIRS
0 11 14 Partition(array, row) 1 ALL_PAIRS
0 11 15 Partition(array, row) 1 ALL_PAIRS
0 11 16 Partition(array, row) 1 ALL_PAIRS
0 11 17 Partition(array, row) 1 ALL_PAIRS
0 12 13 Partition(array, row) 1 ALL_PAIRS
0 12 14 Partition(array, row) 1 ALL_PAIRS
0 12 15 Partition(array, row) 1 ALL_PAIRS
0 12 16 Partition(array, row) 1 ALL_PAIRS
0 12 17 Partition(array, row) 1 ALL_PAIRS
0 13 14 Partition(array, row) 1 ALL_PAIRS
0 13 15 Partition(array, row) 1 ALL_PAIRS
0 13 16 Partition(array, row) 1 ALL_PAIRS
0 13 17 Partition(array, row) 1 ALL_PAIRS
0 14 15 Partition(array, row) 1 ALL_PAIRS
0 14 16 Partition(array, row) 1 ALL_PAIRS
0 14 17 Partition(array, row) 1 ALL_PAIRS
0 15 16 Partition(array, row) 1 ALL_PAIRS
0 15 17 Partition(array, row) 1 ALL_PAIRS
0 16 17 Partition(array, row) 1 ALL_PAIRS
0 18 19 Partition(array, row) 1 ALL_PAIRS
0 18 20 Partition(array, row) 1 ALL_PAIRS
0 18 21 Partition(array, row) 1 ALL_PAIRS
0 18 22 Partition(array, row) 1 ALL_PAIRS
0 18 23 Partition(array, row) 1 ALL_PAIRS
0 18 24 Partition(array, row) 1 ALL_PAIRS
0 18 25 Partition(array, row) 1 ALL_PAIRS
0 18 26 Partition(array, row) 1 ALL_PAIRS
0 19 20 Partition(array, row) 1 ALL_PAIRS
0 19 21 Partition(array, row) 1 ALL_PAIRS
0 19 22 Partition(array, row) 1 ALL_PAIRS
0 19 23 Partition(array, row) 1 ALL_PAIRS
0 19 24 Partition(array, row) 1 ALL_PAIRS
0 19 25 Partition(array, row) 1 ALL_PAIRS
0 19 26 Partition(array, row) 1 ALL_PAIRS
0 20 21 Partition(array, row) 1 ALL_PAIRS
0 20 22 Partition(array, row) 1 ALL_PAIRS
0 20 23 Partition(array, row) 1 ALL_PAIRS
0 20 24 Partition(array, row) 1 ALL_PAIRS
0 20 25 Partition(array, row) 1 ALL_PAIRS
0 20 26 Partition(array, row) 1 ALL_PAIRS
0 21 22 Partition(array, row) 1 ALL_PAIRS
0 21 23 Partition(array, row) 1 ALL_PAIRS
0 21 24 Partition(array, row) 1 ALL_PAIRS
0 21 25 Partition(array, row) 1 ALL_PAIRS
0 21 26 Partition(array, row) 1 ALL_PAIRS
0 22 23 Partition(array, row) 1 ALL_PAIRS
0 22 24 Partition(array, row) 1 ALL_PAIRS
0 22 25 Partition(array, row) 1 ALL_PAIRS
0 22 26 Partition(array, row) 1 ALL_PAIRS
0 23 24 Partition(array, row) 1 ALL_PAIRS
0 23 25 Partition(array, row) 1 ALL_PAIRS
0 23 26 Partition(array, row) 1 ALL_PAIRS
0 24 25 Partition(array, row) 1 ALL_PAIRS
0 24 26 Partition(array, row) 1 ALL_PAIRS
0 25 26 Partition(array, row) 1 ALL_PAIRS
0 27 28 Partition(array, row) 1 ALL_PAIRS
0 27 29 Partition(array, row) 1 ALL_PAIRS
0 27 30 Partition(array, row) 1 ALL_PAIRS
0 27 31 Partition(array, row) 1 ALL_PAIRS
0 27 32 Partition(array, row) 1 ALL_PAIRS
0 27 33 Partition(array, row) 1 ALL_PAIRS
0 27 34 Partition(array, row) 1 ALL_PAIRS
0 27 35 Partition(array, row) 1 ALL_PAIRS
0 28 29 Partition(array, row) 1 ALL_PAIRS
0 28 30 Partition(array, row) 1 ALL_PAIRS
0 28 31 Partition(array, row) 1 ALL_PAIRS
0 28 32 Partition(array, row) 1 ALL_PAIRS
0 28 33 Partition(array, row) 1 ALL_PAIRS
0 28 34 Partition(array, row) 1 ALL_PAIRS
0 28 35 Partition(array, row) 1 ALL_PAIRS
0 29 30 Partition(array, row) 1 ALL_PAIRS
0 29 31 Partition(array, row) 1 ALL_PAIRS
0 29 32 Partition(array, row) 1 ALL_PAIRS
0 29 33 Partition(array, row) 1 ALL_PAIRS
0 29 34 Partition(array, row) 1 ALL_PAIRS
0 29 35 Partition(array, row) 1 ALL_PAIRS
0 30 31 Partition(array, row) 1 ALL_PAIRS
0 30 32 Partition(array, row) 1 ALL_PAIRS
0 30 33 Partition(array, row) 1 ALL_PAIRS
0 30 34 Partition(array, row) 1 ALL_PAIRS
0 30 35 Partition(array, row) 1 ALL_PAIRS
0 31 32 Partition(array, row) 1 ALL_PAIRS
0 31 33 Partition(array, row) 1 ALL_PAIRS
0 31 34 Partition(array, row) 1 ALL_PAIRS
0 31 35 Partition(array, row) 1 ALL_PAIRS
0 32 33 Partition(array, row) 1 ALL_PAIRS
0 32 34 Partition(array, row) 1 ALL_PAIRS
0 32 35 Partition(array, row) 1 ALL_PAIRS
0 33 34 Partition(array, row) 1 ALL_PAIRS
0 33 35 Partition(array, row) 1 ALL_PAIRS
0 34 35 Partition(array, row) 1 ALL_PAIRS
0 36 37 Partition(array, row) 1 ALL_PAIRS
0 36 38 Partition(array, row) 1 ALL_PAIRS
0 36 39 Partition(array, row) 1 ALL_PAIRS
0 36 40 Partition(array, row) 1 ALL_PAIRS
0 36 41 Partition(array, row) 1 ALL_PAIRS
0 36 42 Partition(array, row) 1 ALL_PAIRS
0 36 43 Partition(array, row) 1 ALL_PAIRS
0 36 44 Partition(array, row) 1 ALL_PAIRS
0 37 38 Partition(array, row) 1 ALL_PAIRS
0 37 39 Partition(array, row) 1 ALL_PAIRS
0 37 40 Partition(array, row) 1 ALL_PAIRS
0 37 41 Partition(array, row) 1 ALL_PAIRS
0 37 42 Partition(array, row) 1 ALL_PAIRS
0 37 43 Partition(array, row) 1 ALL_PAIRS
0 37 44 Partition(array, row) 1 ALL_PAIRS
0 38 39 Partition(array, row) 1 ALL_PAIRS
0 38 40 Partition(array, row) 1 ALL_PAIRS
0 38 41 Partition(array, row) 1 ALL_PAIRS
0 38 42 Partition(array, row) 1 ALL_PAIRS
0 38 43 Partition(array, row) 1 ALL_PAIRS
0 38 44 Partition(array, row) 1 ALL_PAIRS
0 39 40 Partition(array, row) 1 ALL_PAIRS
0 39 41 Partition(array, row) 1 ALL_PAIRS
0 39 42 Partition(array, row) 1 ALL_PAIRS
0 39 43 Partition(array, row) 1 ALL_PAIRS
0 39 44 Partition(array, row) 1 ALL_PAIRS
0 40 41 Partition(array, row) 1 ALL_PAIRS
0 40 42 Partition(array, row) 1 ALL_PAIRS
0 40 43 Partition(array, row) 1 ALL_PAIRS
0 40 44 Partition(array, row) 1 ALL_PAIRS
0 41 42 Partition(array, row) 1 ALL_PAIRS
0 41 43 Partition(array, row) 1 ALL_PAIRS
0 41 44 Partition(array, row) 1 ALL_PAIRS
0 42 43 Partition(array, row) 1 ALL_PAIRS
0 42 44 Partition(array, row) 1 ALL_PAIRS
0 43 44 Partition(array, row) 1 ALL_PAIRS
0 45 46 Partition(array, row) 1 ALL_PAIRS
0 45 47 Partition(array, row) 1 ALL_PAIRS
0 45 48 Partition(array, row) 1 ALL_PAIRS
0 45 49 Partition(array, row) 1 ALL_PAIRS
0 45 50 Partition(array, row) 1 ALL_PAIRS
0 45 51 Partition(array, row) 1 ALL_PAIRS
0 45 52 Partition(array, row) 1 ALL_PAIRS
0 45 53 Partition(array, row) 1 ALL_PAIRS
0 46 47 Partition(array, row) 1 ALL_PAIRS
0 46 48 Partition(array, row) 1 ALL_PAIRS
0 46 49 Partition(array, row) 1 ALL_PAIRS
0 46 50 Partition(array, row) 1 ALL_PAIRS
0 46 51 Partition(array, row) 1 ALL_PAIRS
0 46 52 Partition(array, row) 1 ALL_PAIRS
0 46 53 Partition(array, row) 1 ALL_PAIRS
0 47 48 Partition(array, row) 1 ALL_PAIRS
0 47 49 Partition(array, row) 1 ALL_PAIRS
0 47 50 Partition(array, row) 1 ALL_PAIRS
0 47 51 Partition(array, row) 1 ALL_PAIRS
